2,1.0013580322265625e-05,17.8,57.6
3,10.00716495513916,27.8,57.9
4,20.009138345718384,25.7,58.0
5,30.015950918197632,24.8,58.1
6,40.023932456970215,30.1,58.3
7,50.03014302253723,25.3,58.5
8,60.0401976108551,26.5,58.5
9,70.04623508453369,28.5,58.5
10,80.05588364601135,25.8,58.6
11,90.05719780921936,24.9,58.7
12,100.06723237037659,31.0,58.8
13,110.0758581161499,27.2,58.9
14,120.08411383628845,25.3,58.9
15,130.09414386749268,31.6,59.0
16,140.10460948944092,27.4,59.2
17,150.11185717582703,28.1,59.3
18,160.11996388435364,30.5,59.5
19,170.12787508964539,28.0,59.6
20,180.13640117645264,29.4,59.6
21,190.1438708305359,29.6,59.8
